max_depth,sample_min_split,test_size,custom_accuracy,custom_precision,custom_recall,custom_f1,custom_train_time,custom_prediction_time,custom_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_f1,sklearn_train_time,sklearn_prediction_time,sklearn_memory_usage
1,2,0.1,0.6111111111111112,0.4372294372294372,0.5634920634920635,0.48179271708683474,0.11176919937133789,0.0,0.016938209533691406,0.6111111111111112,0.4372294372294372,0.5634920634920635,0.48179271708683474,0.0009846687316894531,0.0,0.0010213851928710938
1,3,0.1,0.6111111111111112,0.4372294372294372,0.5634920634920635,0.48179271708683474,0.11487078666687012,0.0,0.00145721435546875,0.6111111111111112,0.4372294372294372,0.5634920634920635,0.48179271708683474,0.0009868144989013672,0.0,0.0009489059448242188
1,4,0.1,0.6111111111111112,0.4372294372294372,0.5634920634920635,0.48179271708683474,0.11557865142822266,0.0,0.00093841552734375,0.6111111111111112,0.4372294372294372,0.5634920634920635,0.48179271708683474,0.0018694400787353516,0.0,0.0009489059448242188
1,5,0.1,0.6111111111111112,0.4372294372294372,0.5634920634920635,0.48179271708683474,0.12488126754760742,0.0,0.00093841552734375,0.6111111111111112,0.4372294372294372,0.5634920634920635,0.48179271708683474,0.0010044574737548828,0.0,0.0009489059448242188
2,2,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.2553093433380127,0.0,0.0099945068359375,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.0009996891021728516,0.0,0.0009489059448242188
2,3,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.2474231719970703,0.0,0.00139617919921875,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.0009829998016357422,0.0,0.0009489059448242188
2,4,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.23874402046203613,0.0,0.00139617919921875,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.0009856224060058594,0.0,0.0009489059448242188
2,5,0.1,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.24365544319152832,0.0,0.00139617919921875,0.8888888888888888,0.8968253968253969,0.8968253968253969,0.8968253968253969,0.0009922981262207031,0.0,0.0009489059448242188
3,2,0.1,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.3914530277252197,0.0,0.00498199462890625,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.0009725093841552734,0.0,0.0009489059448242188
3,3,0.1,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.39222145080566406,0.0,0.00208282470703125,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,0.0020055770874023438,0.0,0.0009489059448242188
